lsoa11,r_dec,h_dec,e_dec,ahah_dec
E01028925,2,10,2,5
E01020134,8,3,2,2
W01001953,8,3,8,7
W01000625,3,7,4,2
W01000321,3,7,7,3
W01001506,8,3,4,3
W01001902,5,9,2,6
E01019996,9,1,3,3
E01015196,6,4,5,2
E01020272,6,9,4,7
W01000895,9,3,2,3
W01001173,4,9,8,8
E01018872,3,9,4,5
W01000190,1,10,1,9
W01000258,3,9,3,6
W01000433,1,10,1,9
W01000633,2,7,2,1
E01015226,5,8,3,4
W01001810,5,7,6,5
E01019119,8,6,1,3
W01001918,4,7,5,4
W01001344,6,2,7,3
E01019158,10,1,9,10
E01018968,1,10,2,9
W01000043,2,9,2,5
W01001466,1,8,8,6
W01000488,1,10,1,9
W01001800,9,3,7,8
W01000561,1,10,2,8
E01020143,1,10,2,7
E01019132,1,10,1,7
E01018984,5,6,6,4
W01000763,8,3,7,5
E01015077,4,5,6,2
W01000568,8,2,4,3
E01018831,1,10,3,8
W01001483,1,8,7,5
E01015180,8,5,9,9
E01015174,8,2,8,7
E01015150,6,3,7,4
W01000179,7,3,1,1
E01020073,1,10,1,9
E01019051,3,9,3,4
W01000133,5,7,2,3
W01001084,2,7,4,2
W01001292,2,7,6,3
W01000792,2,10,2,6
E01015089,4,3,6,1
W01000794,6,7,5,5
E01019020,9,4,4,6
W01001859,10,2,9,9
E01019897,5,7,2,2
E01018791,7,6,4,4
W01001237,4,5,6,2
E01015147,4,3,6,2
W01001846,3,9,4,5
W01000048,1,10,1,5
W01001858,9,1,7,7
W01000567,2,9,1,3
E01018820,2,9,6,6
E01015056,3,7,6,3
E01018765,1,10,2,7
W01000444,1,10,2,8
W01000427,1,10,1,10
E01018758,1,10,1,8
E01015164,2,7,3,1
E01018822,4,5,5,1
E01019294,4,6,2,1
E01019264,5,8,2,4
W01001525,3,7,3,2
E01007204,3,2,4,1
W01001284,2,10,3,6
E01019275,8,5,2,3
W01001635,2,9,7,6
E01015241,10,2,4,6
W01001090,3,7,6,4
W01001944,7,5,10,10
E01029111,6,6,8,6
E01007299,5,7,4,3
E01007227,10,2,4,7
W01001619,3,5,4,1
E01032628,1,10,2,7
W01001103,3,4,5,1
W01000314,10,1,6,8
E01018965,1,10,2,8
W01000837,3,9,2,6
E01020302,1,10,2,8
W01001281,4,7,3,2
W01000902,3,10,2,6
W01001365,2,8,5,4
W01001930,1,10,1,7
W01001161,2,9,4,6
E01019268,2,9,2,5
E01019137,9,4,2,5
E01019260,8,6,2,3
W01000123,1,9,1,4
W01000177,4,9,2,4
W01000460,1,10,1,7
W01000502,1,8,1,1
